[2025-04-23 13:14:28,224] 15 root - INFO - Initiate the data ingestion
[2025-04-23 13:14:30,377] 65 root - INFO - Performed train test split on the dataframe
[2025-04-23 13:14:30,378] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-23 13:14:30,378] 70 root - INFO - Exporting train and test file path
[2025-04-23 13:14:30,432] 78 root - INFO - Exported train and test file path
[2025-04-23 13:14:30,433] 17 root - INFO - Data initiation Completed
[2025-04-23 13:14:30,436] 20 root - INFO - Initiate the data validation
[2025-04-23 13:14:30,479] 37 root - INFO - Required number of columns:2
[2025-04-23 13:14:30,479] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:14:30,480] 37 root - INFO - Required number of columns:2
[2025-04-23 13:14:30,480] 38 root - INFO - Data Frame has columns: 31
[2025-04-23 13:14:30,600] 24 root - INFO - data validation completed
